timestamp,emotion,meta
2025-11-19T13:44:01.009552Z,none,source=webcam
2025-11-19T13:44:01.011536Z,none,source=webcam
2025-11-19T13:44:09.341368Z,none,source=webcam
2025-11-19T13:44:39.732353Z,none,source=webcam
2025-11-19T13:44:40.760306Z,none,source=webcam
2025-11-19T13:44:41.758712Z,none,source=webcam
2025-11-19T13:44:42.756986Z,none,source=webcam
2025-11-19T13:44:43.757532Z,none,source=webcam
2025-11-19T13:44:44.748420Z,none,source=webcam
2025-11-19T13:44:45.756251Z,none,source=webcam
2025-11-19T13:44:46.754122Z,none,source=webcam
2025-11-19T13:44:47.759123Z,none,source=webcam
2025-11-19T13:44:48.757719Z,none,source=webcam
2025-11-19T13:44:50.812649Z,neutral,source=webcam
2025-11-19T13:44:51.822389Z,neutral,source=webcam
2025-11-19T13:44:52.832086Z,neutral,source=webcam
2025-11-19T13:44:53.813432Z,neutral,source=webcam
2025-11-19T13:44:54.830743Z,neutral,source=webcam
2025-11-19T13:44:55.812686Z,neutral,source=webcam
2025-11-19T13:44:56.833987Z,neutral,source=webcam
2025-11-19T13:44:57.829524Z,none,source=webcam
2025-11-19T13:44:58.830859Z,none,source=webcam
2025-11-19T13:44:59.834078Z,angry,source=webcam
2025-11-19T13:45:00.813538Z,angry,source=webcam
2025-11-19T13:45:01.817558Z,angry,source=webcam
2025-11-19T13:45:02.829582Z,sad,source=webcam
2025-11-19T13:45:04.357963Z,neutral,source=webcam
2025-11-19T13:45:08.129860Z,neutral,source=webcam
2025-11-19T13:45:08.140174Z,neutral,source=webcam
2025-11-19T13:45:08.141505Z,neutral,source=webcam
2025-11-19T13:45:08.358792Z,neutral,source=webcam
2025-11-19T13:45:09.355590Z,neutral,source=webcam
2025-11-19T13:45:10.354773Z,neutral,source=webcam
2025-11-19T13:45:11.351770Z,neutral,source=webcam
2025-11-19T13:45:12.360732Z,neutral,source=webcam
2025-11-19T13:45:13.346433Z,neutral,source=webcam
2025-11-19T13:45:14.348060Z,neutral,source=webcam
2025-11-19T13:45:15.359008Z,neutral,source=webcam
2025-11-19T13:45:16.360914Z,neutral,source=webcam
2025-11-19T13:45:17.360664Z,neutral,source=webcam
2025-11-19T13:45:18.362475Z,neutral,source=webcam
2025-11-19T13:45:19.358741Z,neutral,source=webcam
2025-11-19T13:45:20.356652Z,neutral,source=webcam
2025-11-19T13:45:21.355267Z,neutral,source=webcam
2025-11-19T13:45:22.358872Z,neutral,source=webcam
2025-11-19T13:45:23.349285Z,neutral,source=webcam
2025-11-19T13:45:24.358377Z,neutral,source=webcam
2025-11-19T13:45:25.352146Z,neutral,source=webcam
2025-11-19T13:45:26.356266Z,neutral,source=webcam
2025-11-19T13:45:27.363781Z,neutral,source=webcam
2025-11-19T13:45:28.361756Z,neutral,source=webcam
2025-11-19T13:45:28.827585Z,neutral,source=webcam
2025-11-19T13:45:29.828088Z,neutral,source=webcam
2025-11-19T13:45:30.821207Z,neutral,source=webcam
2025-11-19T13:45:32.361877Z,neutral,source=webcam
2025-11-19T13:45:33.353053Z,neutral,source=webcam
